[,latitude,longitude,]
[,33.77148,-89.79134,]
[,35.48524,-86.46076,]
[,40.28664,-79.38485,]
[,38.53437,-90.28624,]
[,36.35651,-86.71353,]
[,41.21819,-98.45151,]
[,35.48626,-86.4371,]
[,34.89862,-77.2318,]
[,33.90411,-81.14327,]
[,33.65311,-86.81169,]
[,33.709,-87.47029,]
[,37.68281,-86.869,]
[,40.969,-80.56434,]
[,37.14007,-83.77197,]
[,34.17469,-84.78864,]
[,40.99465,-76.45177,]
[,31.95736,-90.98589,]
[,32.88198,-96.85634,]
[,30.48143,-92.7048,]
[,31.92656,-106.40727,]
[,32.21924,-82.41217,]
[,36.39976,-86.16336,]
[,31.79542,-106.55771,]
[,35.68071,-101.39308,]
[,33.23948,-84.24632,]
[,34.64626441,-86.56700622,]
[,39.84146,-88.95561,]
[,32.38899,-94.87298,]
[,34.31575,-93.17052,]
[,32.29657,-87.79958,]
[,27.59411,-99.51331,]
[,31.68058,-88.64563,]
[,33.85293,-96.50841,]
[,39.4186,-86.4297,]
[,40.74203,-92.86808,]
[,40.26872,-94.02775,]
[,42.76061,-95.55131,]
[,40.54155,-78.3788,]
[,39.60393,-80.93401,]
[,33.36834,-97.17487,]
[,40.01968,-89.85086,]
[,38.68043,-87.51905,]
[,38.63484,-95.82017,]
[,37.68779,-87.91288,]
[,26.20469,-98.11959,]
[,43.70052,-92.40114,]
[,34.33205,-78.8264,]
[,29.24073,-81.46298,]
[,40.46531,-88.37373,]
[,28.81731,-97.85738,]
[,40.41925,-86.83896,]
[,36.22385,-86.29041,]
[,32.51314,-94.71105,]
[,37.88136,-95.7388,]
[,39.81621,-89.65508,]
[,35.75344,-81.71596,]
[,40.13039,-87.6025,]
[,39.24545,-88.15509,]
[,36.51271,-88.88244,]
[,36.79323,-84.171,]
[,34.00892,-85.99368,]
[,31.24903,-93.9864,]
[,31.9803,-95.27355,]
[,40.8881,-85.16654,]
[,32.46161,-99.70594,]
[,39.13146,-88.56083,]
[,37.7433,-89.87544,]
[,34.45663,-88.66711,]
[,31.51538,-82.63499,]
[,42.01536,-94.37218,]
[,31.65235,-106.26794,]
[,36.40861,-78.97571,]
[,38.7445,-75.59942,]
[,34.333,-82.38902,]
[,34.731,-80.77677,]
[,39.6002,-88.60743,]
[,32.58243,-93.89305,]
[,35.53702,-95.10923,]
[,34.56374428,-92.58816435,]
[,35.5773,-97.56723,]
[,32.46532,-86.451,]
[,26.15153,-97.91228,]
[,33.5943,-85.07936,]
[,30.86153,-93.28762,]
[,30.38416,-94.31967,]
[,32.60706,-96.84061,]
[,27.96055,-81.72669,]
[,44.35011,-84.41029,]
[,30.52552525,-87.90294963,]
[,32.54165,-92.63797,]
[,35.38637,-77.9476,]
[,26.17148,-97.99094,]
[,33.64504,-96.61192,]
[,39.37089,-93.48484,]
[,29.53389,-98.42909,]
[,35.91722,-79.09392,]
[,36.22803,-80.12326,]
[,35.493,-97.34312,]
[,41.50492,-94.31794,]
[,32.78323,-97.11453,]
[,36.37181,-94.1965,]
[,34.89745,-98.20036,]
[,29.97687,-93.98716,]
[,36.50627,-91.5443,]
[,39.65052,-78.91177,]
[,34.96876,-89.79787,]
